SO	Freq	FI
MARINE POLLUTION BULLETIN	25	7.001
SCIENCE OF THE TOTAL ENVIRONMENT	17	10.754
PLOS ONE	16	3.752
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	15	5.190
JOURNAL OF LUMINESCENCE	14	4.171
CHEMOSPHERE	13	8.943
ENVIRONMENTAL POLLUTION	13	9.988
FRONTIERS IN MARINE SCIENCE	10	5.247
MARINE BIODIVERSITY	10	1.815
MARINE ENVIRONMENTAL RESEARCH	10	3.737
RADIATION PHYSICS AND CHEMISTRY	10	2.776
REGIONAL STUDIES IN MARINE SCIENCE	10	2.166
OCEAN & COASTAL MANAGEMENT	9	4.295
AQUACULTURAL ENGINEERING	8	3.273
NEOTROPICAL ICHTHYOLOGY	8	1.47
PEERJ	8	3.06
SCIENTIFIC REPORTS	8	5.516
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY	7	7.129
JOURNAL OF HAZARDOUS MATERIALS	7	14.224
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS	6	3.541
MARINE BIOLOGY RESEARCH	6	2.088
QUATERNARY INTERNATIONAL	6	2.454
REVISTA BRASILEIRA DE FARMACOGNOSIA-BRAZILIAN JOURNAL OF PHARMACOGNOSY	6	2.805
ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS	5	1.813
APPLIED RADIATION AND ISOTOPES	5	1.787
ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY	5	3.526
BRAZILIAN JOURNAL OF OCEANOGRAPHY	5	1.933
BULLETIN OF MARINE SCIENCE	5	1.996
CORAL REEFS	5	4.362
ECOLOGICAL INDICATORS	5	6.263
JOURNAL OF ALLOYS AND COMPOUNDS	5	6.371
JOURNAL OF APPLIED ICHTHYOLOGY	5	1.222
MATERIALS CHEMISTRY AND PHYSICS	5	4.778
BIORESOURCES	4	1.747
BIOTA NEOTROPICA	4	1.467
BOLETIM DO INSTITUTO DE PESCA	4	1.058
ESTUARINE COASTAL AND SHELF SCIENCE	4	3.229
FISHERIES RESEARCH	4	2.817
FRONTIERS IN MICROBIOLOGY	4	6.064
HYDROBIOLOGIA	4	2.920
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY	4	2.476
JOURNAL OF FISH BIOLOGY	4	2.504
JOURNAL OF SOLID STATE ELECTROCHEMISTRY	4	2.620
MARINE BIOLOGY	4	2.839
MARINE POLICY	4	4.315
MOLECULES	4	4.927
PETROLEUM SCIENCE AND TECHNOLOGY	4	0.719
RADIATION MEASUREMENTS	4	1.743
SCIENCE ADVANCES	4	14.136
WATER RESEARCH	4	13.4
ZOOTAXA	4	1.091
